Name,Fee,Age
Glenn Murray,3,33
Lukas Jutkiewicz,1,27
Danny Lafferty,0.43,27
Oscar,52,25
John Obi Mikel,9.5,29
Patrick Bamford,10,23
Darron Gibson,3.75,29
Bryan Oviedo,3.75,26
Jake Livermore,10,27
Robert Snodgrass,10.2,29
Jeffrey Schlupp,12.5,24
Luis Hernandez,1.7,27
Joe Maguire,0.05,21
Tiago Ilori,3.75,23
George Glendon,0.09,21
Ian Lawlor,0.09,22
Morgan Schneiderlin,24,27
Memphis Depay,21.7,22
Sean Goss,0.5,21
Jordan Rhodes,10,26
Emilio Nsue,1.02,27
José Fonte,8,33
Patrick v. Aanholt,14,26
Tom Carroll,4.5,24
Odion Ighalo,19.8,27
Saido Berahino,15,23
Dimitri Payet,25,29
Lewis Page,0.09,20
